axis,value
R,596
H,1177
2B,210
3B,14
HR,163
RBI,575
SO,1065
BB,449
SH,81
SF,26
SB,40
E,65
AVG,0.246
SLG,0.398
OBP,0.315
CG,6
WP,71
LP,69
SV,30
HP,133
H,1201
HR,137
BB,518
K,1172
R,611
ER,557
ERA,3.93
BB/9,3.66
K/9,8.28
WHIP,1.35
