axis,value
R,563
H,1265
2B,240
3B,31
HR,90
RBI,545
SO,1024
BB,349
SH,108
SF,29
SB,63
E,45
AVG,0.263
SLG,0.381
OBP,0.317
CG,3
WP,68
LP,73
SV,37
HP,142
H,1155
HR,146
BB,452
K,1088
R,544
ER,525
ERA,3.72
BB/9,3.21
K/9,7.72
WHIP,1.27
