axis,value
R,57.3
H,61.0
2B,72.1
3B,5.9
HR,100.0
RBI,56.5
SO,96.5
BB,86.4
SH,18.2
SF,41.7
SB,45.7
E,47.4
AVG,65.2
SLG,92.0
OBP,74.3
CG,22.2
WP,85.7
LP,10.0
SV,42.3
HP,32.3
H,45.0
HR,66.0
BB,26.2
K,88.9
R,14.9
ER,22.3
ERA,23.5
BB/9,24.0
K/9,87.4
WHIP,39.1
