axis,value
R,34.9
H,29.5
2B,33.8
3B,47.1
HR,54.8
RBI,38.3
SO,57.3
BB,86.0
SH,60.6
SF,75.0
SB,8.5
E,47.4
AVG,39.1
SLG,49.3
OBP,68.6
CG,22.2
WP,57.1
LP,30.0
SV,57.7
HP,100.0
H,14.3
HR,50.9
BB,35.5
K,70.4
R,17.4
ER,20.7
ERA,21.2
BB/9,32.3
K/9,68.2
WHIP,13.0
