axis,value
R,100.0
H,100.0
2B,83.8
3B,52.9
HR,90.3
RBI,100.0
SO,35.2
BB,93.7
SH,0.0
SF,100.0
SB,100.0
E,82.5
AVG,100.0
SLG,100.0
OBP,100.0
CG,22.2
WP,100.0
LP,0.0
SV,46.2
HP,0.0
H,79.3
HR,52.8
BB,70.9
K,0.0
R,77.4
ER,69.3
ERA,67.4
BB/9,68.8
K/9,0.0
WHIP,87.0
