axis,value
R,54.1
H,19.2
2B,48.5
3B,29.4
HR,82.8
RBI,57.9
SO,100.0
BB,100.0
SH,18.2
SF,25.0
SB,23.4
E,91.2
AVG,8.7
SLG,60.0
OBP,57.1
CG,22.2
WP,0.0
LP,100.0
SV,19.2
HP,25.8
H,100.0
HR,100.0
BB,45.4
K,65.0
R,100.0
ER,100.0
ERA,100.0
BB/9,45.8
K/9,66.8
WHIP,100.0
