axis,value
R,24.3
H,54.1
2B,64.7
3B,17.6
HR,53.8
RBI,25.4
SO,46.7
BB,58.8
SH,100.0
SF,0.0
SB,43.6
E,73.7
AVG,52.2
SLG,52.0
OBP,42.9
CG,100.0
WP,52.4
LP,40.0
SV,0.0
HP,3.2
H,33.5
HR,37.7
BB,73.8
K,65.0
R,29.2
ER,15.6
ERA,16.7
BB/9,72.9
K/9,64.0
WHIP,52.2
