axis,value
R,10.1
H,32.2
2B,57.4
3B,82.4
HR,3.2
RBI,11.0
SO,15.6
BB,66.5
SH,0.0
SF,58.3
SB,8.5
E,64.9
AVG,39.1
SLG,16.0
OBP,45.7
CG,0.0
WP,28.6
LP,55.0
SV,50.0
HP,67.7
H,10.8
HR,37.7
BB,0.0
K,57.6
R,21.5
ER,18.4
ERA,22.7
BB/9,0.0
K/9,60.7
WHIP,0.0
