axis,value
R,538
H,1213
2B,216
3B,20
HR,94
RBI,509
SO,1044
BB,447
SH,104
SF,30
SB,100
E,102
AVG,0.251
SLG,0.362
OBP,0.319
CG,5
WP,69
LP,68
SV,36
HP,174
H,1209
HR,115
BB,444
K,1135
R,566
ER,496
ERA,3.46
BB/9,3.1
K/9,7.92
WHIP,1.28
