axis,value
R,47.7
H,28.1
2B,61.8
3B,41.2
HR,73.1
RBI,49.8
SO,0.0
BB,70.6
SH,42.4
SF,25.0
SB,37.2
E,38.6
AVG,30.4
SLG,65.3
OBP,60.0
CG,33.3
WP,47.6
LP,40.0
SV,23.1
HP,54.8
H,52.2
HR,52.8
BB,53.9
K,79.1
R,34.4
ER,33.0
ERA,33.3
BB/9,52.1
K/9,77.6
WHIP,56.5
